t,symbol,r
1768745,ETHUSD,-1.047758335818181
1768747,SOLUSD,-1.0371080868629712
1768760,BTCUSD,1.2528711464230675
1768760,ETHUSD,-1.0477583358181857
1768761,XRPUSD,-1.0341800725824921
1768766,ETHUSD,-0.5312739001375095
1768777,US SP 500,1.2583827825166731
1768777,Wall Street 30,0.548100585558443
1768777,BTCUSD,2.990338747922431
1768777,France 40,2.915132789164988
1768778,XRPUSD,2.96581992741755
1768778,UK 100,2.9291824300944715
1768778,Japan 225,2.930432557135946
1768778,ETHUSD,2.952241664181803
1768780,BTCUSD,-1.009661252077541
1768780,SOLUSD,0.17919125117839413
1768780,XRPUSD,-1.0341800725824608
1768781,ETHUSD,0.20480582476065312
1768781,Germany 40,0.03440906409381949
1768785,France 40,-0.8895585566482559
1768785,Japan 225,-1.069567442864011
1768798,France 40,-1.084867210835018
1768806,UK 100,-1.0708175699055331
1768806,US Small Cap 2000,-1.0580553351076625
1768807,Wall Street 30,-1.0326497610838234
1768807,US Tech 100,-1.0243547327929716
1768807,France 40,-1.084867210834987
1768807,US SP 500,-1.0546069426446696
1768810,UK 100,-1.0708175699054139
1768811,BTCUSD,0.2565758761104111
1768811,France 40,-1.0848672108349797
1768812,Japan 225,-1.069567442863994
1768812,US SP 500,-1.0546069426446236
1768812,Wall Street 30,-1.0326497610838132
1768812,US Small Cap 2000,-1.0580553351076276
1768812,XRPUSD,0.781384331623848
1768812,US Tech 100,-1.0243547327930755
1768815,US SP 500,-0.23040105635232877
1768815,Wall Street 30,-1.03264976108374
1768815,Japan 225,-0.3116964159795423
1768815,US Tech 100,0.23202716849814928
1768815,US Small Cap 2000,1.5474218974690341
1768815,UK 100,0.5291824300945739
1768825,Wall Street 30,-1.032649761083708
1768832,US Small Cap 2000,-1.05805533510775
1768833,France 40,1.867642881516683
1768837,US Small Cap 2000,2.214673740414396
1768839,XRPUSD,2.9658199274175336
1768841,SOLUSD,0.010879274038723
1768842,XRPUSD,-0.014237033303799565
1768846,BTCUSD,-1.0096612520775126
1768860,SOLUSD,2.962891913137058
1768862,BTCUSD,2.990338747922461
1768862,ETHUSD,2.9522416641817957
1768862,SOLUSD,-1.0371080868629714
1768862,XRPUSD,-1.0341800725824593
1768867,UK 100,-1.0708175699056015
1768868,Japan 225,-1.0695674428640505
1768868,Germany 40,-1.020252821701466
1768868,US Small Cap 2000,-1.0580553351076485
1768868,France 40,-1.0848672108350121
1768868,US SP 500,-1.0546069426447267
1768869,Germany 40,-1.0202528217013915
1768869,Japan 225,0.5569458874262656
1768871,UK 100,-1.0708175699054636
1768874,XRPUSD,0.1803644742340691
1768885,ETHUSD,-1.0477583358182154
1768885,SOLUSD,2.962891913137052
1768885,BTCUSD,-1.009661252077519
1768889,France 40,2.9151327891650083
1768889,Germany 40,-1.020252821701398
1768890,US Small Cap 2000,2.9419446648923335
1768890,US SP 500,2.945393057355332
1768890,US Tech 100,2.975645267207005
1768890,Wall Street 30,2.967350238916249
1768890,UK 100,2.9291824300944143
1768891,ETHUSD,1.2610851959152303
1768891,BTCUSD,-0.022352371841751845
1768891,SOLUSD,2.9628919131370375
1768894,France 40,-1.0848672108349682
1768896,UK 100,2.929182430094636
1768897,US Small Cap 2000,2.9419446648923393
1768897,Germany 40,2.9797471782985565
1768897,XRPUSD,0.049745430624566433
1768899,UK 100,-1.070817569905519
1768900,US SP 500,-1.0546069426446427
1768900,US Tech 100,-1.0243547327929943
1768901,Japan 225,0.7245378505777635
1768901,SOLUSD,0.16306688622760546
1768901,Germany 40,0.5905857650005929
1768901,Wall Street 30,-1.0326497610838241
1768902,France 40,-0.4000283040270131
1768906,UK 100,1.608353584735286
1768909,Wall Street 30,-1.0326497610837775
1768910,US Small Cap 2000,-1.0580553351076658
1768913,France 40,-1.0848672108349708
1768914,Germany 40,2.182601212609948
1768914,ETHUSD,2.9522416641818223
1768916,US Small Cap 2000,-1.0580553351076716
1768916,XRPUSD,-1.034180072582453
1768916,Wall Street 30,-1.0326497610837728
1768921,ETHUSD,0.5226529606863478
1768922,US Tech 100,-0.6009640100618955
1768922,Wall Street 30,-1.032649761083759
1768922,US SP 500,-1.054606942644688
1768923,Japan 225,0.06225093999466032
1768923,US Small Cap 2000,-0.16610666902017407
1768923,France 40,0.336354546211711
1768926,SOLUSD,-1.0371080868629603
1768930,BTCUSD,0.46750779604503356
1768937,US Small Cap 2000,-0.698594872570445
1768937,Wall Street 30,-0.31661604396990733
1768950,BTCUSD,-1.0096612520775405
1768950,ETHUSD,-1.0477583358182025
1768956,XRPUSD,-1.0341800725824626
1768958,SOLUSD,0.3578825966509545
1768959,Japan 225,-1.0695674428640134
1768975,XRPUSD,-1.034180072582456
1768976,UK 100,-1.0708175699056044
1768980,BTCUSD,0.25661931311583525
1768980,UK 100,0.9346637058105782
1768984,ETHUSD,-0.2687914479739887
1768984,SOLUSD,-1.0371080868629587
1768984,XRPUSD,-1.034180072582462
1768988,Germany 40,2.979747178298551
1768988,US Small Cap 2000,-1.0580553351077544
1768988,Wall Street 30,-1.0326497610838759
1768988,Japan 225,-1.069567442863996
1768988,US SP 500,-1.054606942644633
1768988,US Tech 100,-1.0243547327930884
1768995,UK 100,-1.0708175699054998
1768995,US Tech 100,-1.0243547327930127
1768995,US Small Cap 2000,-1.0580553351076492
1768995,Japan 225,-1.0695674428639903
1768995,XRPUSD,-1.0341800725824681
1768995,Wall Street 30,-1.0326497610838663
1768995,US SP 500,-1.054606942644713
1768995,France 40,0.30553467606463014
1768995,Germany 40,2.9797471782985867
1768995,SOLUSD,-1.0371080868629652
1768996,BTCUSD,-1.009661252077531
1768996,ETHUSD,-1.0477583358181957
1768998,Wall Street 30,-1.0326497610837533
1769000,US Small Cap 2000,-1.0580553351076525
1769001,XRPUSD,2.9658199274175407
1769004,UK 100,-0.04415979101939921
1769004,Japan 225,2.930432557135949
1769004,US SP 500,2.9453930573553815
1769004,BTCUSD,2.990338747922452
1769004,France 40,0.06175215936458046
1769004,ETHUSD,2.9522416641818054
1769004,Germany 40,1.6046492439937796
1769004,US Tech 100,2.97564526720697
1769004,SOLUSD,2.962891913137047
1769004,US Small Cap 2000,2.9419446648923424
1769006,US Small Cap 2000,-1.0580553351076651
1769006,XRPUSD,-1.0341800725824568
1769009,Japan 225,-1.069567442864044
1769009,Wall Street 30,-1.0326497610837448
1769010,US SP 500,-1.0546069426446651
1769010,US Tech 100,-1.0243547327930405
1769013,BTCUSD,0.6678904394734958
1769013,ETHUSD,-0.30899422242319985
1769013,SOLUSD,0.011764301249665423
1769013,XRPUSD,-1.0341800725824588
1769013,Japan 225,-0.6280058492699984
1769014,Germany 40,-1.020252821701398
1769014,US Tech 100,-1.024354732793032
1769014,UK 100,-1.0708175699054607
1769014,Wall Street 30,-1.03264976108381
1769014,US Small Cap 2000,-1.0580553351076871
1769014,France 40,-0.16511311993906885
1769014,US SP 500,-1.054606942644649
1769016,Wall Street 30,-1.0326497610837755
1769021,UK 100,2.929182430094489
1769023,BTCUSD,0.8758271106535643
1769023,SOLUSD,0.8381711005501127
1769023,XRPUSD,0.6540779924103071
1769023,Wall Street 30,-0.12065905405964136
1769023,ETHUSD,0.6108846058250139
1769023,Japan 225,-1.0695674428640431
1769023,US Tech 100,0.49576716007303717
1769023,France 40,-0.4539677751883243
1769023,US Small Cap 2000,0.13014000729536562
1769023,US SP 500,0.23474670103186618
1769024,UK 100,0.4897318918553427
1769024,Germany 40,0.5585922747342223
1769038,XRPUSD,-0.2571331830182704
1769039,Japan 225,-1.0695674428640087
1769047,Japan 225,0.6346313234179903
1769053,Germany 40,-1.020252821701405
1769061,UK 100,-1.0708175699055302
1769061,US Tech 100,-1.0243547327929745
1769061,France 40,2.9151327891650394
1769061,Wall Street 30,-1.0326497610836802
1769061,US Small Cap 2000,-1.058055335107733
1769061,Germany 40,-1.0202528217014304
1769061,US SP 500,-1.054606942644731
1769062,Japan 225,-1.0695674428640052
1769067,US SP 500,2.9453930573553437
1769067,US Tech 100,2.975645267207022
1769068,ETHUSD,-1.0477583358181959
1769068,SOLUSD,-1.03710808686295
1769068,BTCUSD,-1.0096612520775547
1769072,XRPUSD,-1.0341800725824741
1769072,US Small Cap 2000,0.2274443889838517
1769072,Wall Street 30,-0.07496198418282797
1769081,ETHUSD,-1.0477583358182
1769081,UK 100,-1.0708175699055316
1769082,XRPUSD,2.9658199274175403
1769083,Wall Street 30,-1.032649761083803
1769087,Wall Street 30,2.967350238916306
1769088,BTCUSD,2.9903387479224226
